latitude,longitude,name
20.372083,73.970583,Ravlya Fort
18.547167,72.927694,Revdanda fort
18.102778,73.820833,Rohida fort
18.656083,72.958917,Sagargad
17.649694,73.911944,Sajjangad
20.7222604,73.9454556,Salher
20.722441,73.9536738,Salota fort
20.21205,76.37085,Sakharkherda Fort
16.1765,74.4048,Samangad
17.858,74.321,Santoshgad
18.5427677,73.2277393,Sarasgad
18.6344,72.8642,Sarjekot fort
19.000635,72.860363,Sewri Fort
18.5195,73.8553,Shaniwar Wada
19.696167,72.7135,Shirgaon Fort
16.413,73.842306,Shivgad
19.199,73.8595,Shivneri
18.827167,73.4,Shrivardhan Fort
19.158944,73.524306,Siddhagad
16.043769,73.461416,Sindhudurg Fort
18.365664,73.755269,Sinhagad
19.0467,72.8677,Sion Hillock Fort
21.148333,79.085,Sitabuldi Fort
17.674,75.9021,Solapur Fort
21.0815,74.7893,Songir
18.8626,73.3328,Songiri
18.538833,73.320361,Sudhagad
17.808472,73.511917,Sumargad
18.453389,73.226167,Surgad
17.817,73.085,Suvarnadurg
18.292389,73.135917,Talagad
19.616972,72.841722,Tandulwadi fort
18.5474,73.3414,Tailbaila fort
19.564076,72.943476,Takmak fort
20.191278,74.454556,Tankai fort
19.863611,72.682222,Tarapur fort
21.255,74.955,Thalner
18.6317,73.5128,Tikona
20.484556,80.533944,Tipagad
19.737778,73.536333,Tringalwadi
19.919694,73.518972,Trymbakgad
18.276072,73.622717,Torna Fort
19.042472,73.49,Tungi
18.660278,73.463056,Tung Fort
18.4028,77.1178,Udgir Fort
18.705531,72.841281,Underi
20.432444,80.091694,Vairagad Fort
17.878073,73.917893,Vairatgad Fort
18.28447,73.98989,Vajragad
17.839083,74.034806,Vandan Fort
17.7258782,74.2631901,Vardhangad Fort
17.8531038,74.4416478,Varugad
19.330667,72.814111,Vasai Fort
17.663306,73.696917,Vasota Fort/ Vyaghragad
17.3184,74.1082,Vasantgad
16.5607,73.3334,Vijaydurg Fort
17.304111,73.240694,Vijaygad Fort
19.028694,73.279056,Vikatgad
18.7225,73.49,Visapur Fort
16.866664,73.833331,Vishalgad/Khelna Fort
19.0238,72.8166,Worli Fort
15.752861,73.665472,Yashwantgad Fort
80.2838,13.0495,Marina Beach
72.8268,19.0989,Juhu Beach
76.7053,8.7376,Varkala Beach
73.7445,15.5755,Anjuna Beach
73.7448,15.5431,Calangute Beach
92.9632,11.682,Radhanagar Beach
76.9714,8.3985,Kovalam Beach
73.7559,15.5568,Baga Beach
76.3264,9.494,Alappuzha Beach
79.8163,11.9282,Paradise Beach
74.4843,14.515,Om Beach
76.2274,10.1426,Cherai Beach
85.8281,19.7964,Puri Beach
79.8507,11.9883,Auroville Beach
74.746,13.2235,Kaup Beach
27.9881,86.925,Everest
35.8825,76.5133,K2
27.7025,88.1475,Kangchenjunga
27.9617,86.9333,Lhotse
27.8897,87.0883,Makalu
28.0942,86.6608,Cho Oyu
28.6965,83.4878,Dhaulagiri
28.5497,84.5597,Manaslu
35.2378,74.5892,Nanga Parbat
28.5961,83.8203,Annapurna
33 21 10 N,76 21 2 E,AGYASOL
32 05 33 N,77 26 18 E,Aligrathni Tibba
32 25 48 N,77 23 54 E,ASHAGIRI CB 42
30 15 15 N,79 57 15 E,Baljuri
31 01 36 N,78 34 19 E,Banderpuch
31 00 00 N,78 30 00 E,BANDERPUNCH WEST
32 50 00 N,76 35 00 E,Behali Jot
30 51 00 N,79 09 00 E,Bhagirathi I
30 52 55 N,79 08 57 E,Bhagirathi II
30 52 09 N,79 08 01 E,Bhagirathi III
